BEGIN_LOG
11-18-33.344153300: C
11-18-33.643794800: R
11-18-33.744915600: A
11-18-34.007267800: Z
11-18-34.128036100: Y
11-18-34.342286900: Enter
11-18-39.860196: M
11-18-40.005095700: E
11-18-40.257376800: S
11-18-40.456839500: S
11-18-40.610244300: Y
11-18-41.106491: Enter
11-18-47.371971400: I
11-18-47.577049500: Enter
11-18-48.513053200: Backspace
11-18-48.722101600: Backspace
11-18-48.906433500: Backspace
11-18-50.612697400: S
11-18-51.204814900: Backspace
11-18-51.562430900: E
11-18-51.904830700: S
11-18-52.210635400: S
11-18-56.015505500: Backspace
11-18-57.098049200: Backspace
11-18-57.952468900: Backspace
11-18-59.613621100: E
11-19-00.102628800: S
11-19-02.973617400: E
11-19-03.124889400: R
11-19-03.357521900: Enter
11-19-04.047703800: Backspace
11-19-04.230433: Backspace
11-19-04.388880500: Backspace
11-19-05.123883800: I
11-19-05.329438800: S
11-19-05.427042800: E
11-19-05.541574900: R
11-19-05.667334900: Enter
11-19-09.869347300: M
11-19-10.112979700: I
11-19-10.273976800: S
11-19-10.307652500: D
11-19-10.988073800: Backspace
11-19-12.705138400: Backspace
11-19-13.222798900: Backspace
11-19-13.256339700: Backspace
11-19-13.290519: Backspace
11-19-13.324990200: Backspace
11-19-13.359153100: Backspace
11-19-15.825601700: M
11-19-16.070685200: I
11-19-16.271720500: S
11-19-17.649678800: S
11-19-17.873771100: Y
11-19-18.235718300: Enter
