BEGIN_LOG
15-14-33.077528700: H
15-14-33.276127600: E
15-14-33.506683200: L
15-14-33.679312: L
15-14-33.919735700: O
15-14-34.190417600: Enter
15-14-42.238131100: C
15-14-42.605484800: R
15-14-42.698677100: A
15-14-42.990472700: Z
15-14-43.110353200: Y
15-14-43.479848400: Enter
15-14-45.340817700: N
15-14-45.573947300: E
15-14-45.751173: V
15-14-45.909062600: E
15-14-46.019206500: R
15-14-46.291708600: Enter
15-14-53.373972800: C
15-14-53.604769700: R
15-14-53.698513700: A
15-14-53.957490500: Z
15-14-54.030460100: Y
15-14-54.324556100: Enter
