BEGIN_LOG
13-29-49.076037: S
13-29-49.192706: M
13-29-49.309804800: E
13-29-49.394937200: L
13-29-49.530851800: L
13-29-49.721178100: Enter
13-29-53.238716500: N
13-29-53.283937300: E
13-29-53.411068200: V
13-29-53.564352300: E
13-29-53.680066200: R
13-29-53.788607900: Enter
13-29-56.496017700: X
13-29-56.695267300: X
13-29-56.837408100: X
13-29-57.068425600: X
13-29-57.382374: X
13-29-57.572676200: Enter
13-30-30.350322700: C
13-30-30.611597: R
13-30-30.686716: A
13-30-30.823433900: P
13-30-31.086824100: Enter
13-30-40.299770400: W
13-30-40.451231400: H
13-30-40.540288500: A
13-30-40.614289200: T
13-30-40.709344600: Enter
