BEGIN_LOG
14-31-18.406114: I
14-31-18.654797500: D
14-31-18.941074: Y
14-31-19.175099800: L
14-31-19.380484400: L
14-31-19.595481600: Enter
14-31-20.337461500: Enter
14-31-20.339454700: Enter
14-31-20.340998100: Enter
14-31-22.536956400: M
14-31-22.719962100: O
14-31-22.764277300: R
14-31-23.767569600: P
14-31-24.013438100: H
14-31-24.273652900: Enter
14-31-26.519913400: Enter
14-31-40.062413600: O
14-31-40.195211800: N
14-31-40.403711: S
14-31-40.493957100: E
14-31-40.661265200: T
14-31-40.763235100: Enter
14-31-47.246914500: Enter
14-31-52.547227700: N
14-31-52.648192100: E
14-31-52.823009900: V
14-31-52.997555200: E
14-31-53.115674400: R
14-31-55.089450: Enter
