BEGIN_LOG
14-38-34.525951700: N
14-38-34.635912: E
14-38-34.727418100: V
14-38-34.869318100: E
14-38-34.972913900: R
14-38-35.053118600: Enter
14-38-37.417863600: X
14-38-37.937494300: X
14-38-37.971298: X
14-38-38.006538900: X
14-38-38.039365900: X
14-38-38.073785800: X
14-38-38.076784: X
14-38-38.078799800: X
14-38-38.107786800: X
14-38-38.109053600: X
14-38-38.109780200: X
14-38-38.110965600: Enter
14-39-30.094389400: M
14-39-30.210323900: A
14-39-30.290170: K
14-39-30.374424900: E
14-39-34.262305400: Enter
14-39-45.427552500: D
14-39-45.429805100: D
14-39-45.431546500: D
14-39-45.446211900: S
14-39-45.448205300: S
14-39-45.449843100: S
14-39-45.622813600: A
14-39-45.625445: A
14-39-45.626812100: A
14-39-45.719571100: F
14-39-45.721524500: F
14-39-45.722983900: F
